product_name,new_price,old_price,discount_ratio,shipping,rating_point,rating_number,seller_name,seller_point,price_class
KONFOR TABAN SÝYAH SPOR AYAKKABI,100.0,169.0,41,noShipping,0,0,modabim,0,1
Unisex Triko Sneaker Spor Ayakkabý AWX01,89.0,199.0,55,noShipping,0,0,ayakkabivakti,0,1
Ayakkabývakti Çocuk Anatomik Spor Ayakkabý Tbk08,69.0,169.0,59,noShipping,0,0,ayakkabivakti,0,1
Unisex Sneaker Spor Ayakkabý,59.0,0.0,0,noShipping,0,0,YSR.SPOR,0,1
Cool Bebek Beyaz Spor Ayakkabý (1843-02),87.0,109.0,20,noShipping,0,0,ToptanSpor,0,1
Ayakkabix Role Erkek Spor Ayakkabý Erkek&Bayan&Çocuk,99.0,229.0,57,freeShipping,0,0,ayakkabix,99,1
Scooter Erkek Spor Ayakkabý  - 3 Renk Seçeneði M1062,99.0,139.0,29,freeShipping,0,0,Scooter,100,1
Wanderfull 4094 Erkek Günlük Spor & Yürüyüþ Ayakkabýsý Yeni Sezon,99.0,199.0,50,freeShipping,0,0,MYPARLAK,94,1
Ayakkabix Spor Ayakkabý Erkek & Bayan & Çocuk Günlük,99.0,199.0,50,freeShipping,0,0,ayakkabix,99,1
LETOON 2104 UNÝSEX SPOR AYAKKABI,99.0,224.0,56,freeShipping,0,0,Letoon,81,1
Lion 1453 Erkek Turkuaz Mavi Çoraplý  Krampon Futbol Ayakkabýsý,92.0,138.0,33,noShipping,0,0,modastar,100,1
Khayt Aqua Air Cooled Baðsýz Triko Rahat Erkek Günlük Spor Ayakka,79.0,199.0,60,noShipping,0,0,Oncaürün,100,1
Wanderfull 4031 Erkek Günlük Spor & Yürüyüþ Ayakkabýsý Sonbahar K,89.0,219.0,59,freeShipping,0,0,MYPARLAK,94,1
Keten Bilekli Erkek Kadýn Spor Ayakkabý 6 Renk,79.0,119.0,33,freeShipping,0,0,Ayakkabýhobim,99,1
Erkek Kadýn Spor Ayakkabý Günlük 4 Renk,79.0,299.0,73,freeShipping,0,0,Ayakkabýhobim,99,1
"WALKED ERKEK HALISAHA ,FUTBOL  SPOR AYAKKABI",69.0,129.0,46,noShipping,0,0,modastar,100,1
LÝON 1453 ERKEK HALISAHA ÇORAPLI FUTBOL AYAKKABISI,87.0,156.0,44,noShipping,0,0,modastar,100,1
Khayt Master Free Rahat Erkek Kadýn Günlük Spor Ayakkabý,94.0,133.0,29,freeShipping,0,0,Oncaürün,100,1
Hercule Erkek Spor Ayakkabý Günlük Sneaker Rahat Giyim,99.0,194.0,49,freeShipping,0,0,HerculeShoes,100,1
Ayakkabix Role Erkek Spor Ayakkabý Erkek&Bayan&Çocuk,99.0,249.0,60,freeShipping,0,0,ayakkabix,99,1
Arriva Bayan Rahat Cýrtlý Günlük Spor Ayakkabý,89.0,149.0,40,freeShipping,0,0,tarzayak,95,1
XStreet 430 Triko Erkek Spor Ayakkabý Günlük Sneaker,89.0,199.0,55,freeShipping,0,0,ModaFrato,100,1
Hercule Erkek Spor Ayakkabý Günlük Sneaker Rahat Giyim,89.0,169.0,47,freeShipping,0,0,HerculeShoes,100,1
Kadýn Günlük Air Spor Ayakkabý 3 Renk,89.0,199.0,55,freeShipping,0,0,Ayakkabýhobim,99,1
ÝmerShoes Fileli Günlük Spor Ayakkabý Erkek Bayan Çocuk Sneakers,79.0,146.0,46,freeShipping,0,0,imer-tech,100,1
Jump Erkek Halý Saha Ayakkabýsý Gri 25851 Silver Black Orange,89.0,119.0,25,freeShipping,0,0,KORAYSPOR,96,1
Modafrato WN-4031X Erkek Spor Ayakkabý Koþu Yürüyüþ Ayakkabýsý,89.0,249.0,64,freeShipping,0,0,ModaFrato,100,1
Tatami Minder 50*50 cm 13 mm kalýnlýk yer döþemesi oyun alanlarý,7.0,17.0,59,noShipping,0,0,clk-06,98,1
Kinetix NAVEN TX M 1FX Lacivert Erkek Sneaker Ayakkabý,67.0,109.0,39,freeShipping,0,0,INSTREET,92,1
Ayakkabý Yaðmurluðu DRY STEP,69.0,0.0,0,freeShipping,0,0,Petza,100,1
Ayakkabix Baðsýz Spor Ayakkabý Erkek & Bayan & Çocuk Günlük,84.0,109.0,23,freeShipping,0,0,ayakkabix,99,1
Kinetix FORLAN TURF Kýrmýzý Erkek Çocuk Halý Saha Ayakkabýsý,56.0,89.0,37,freeShipping,0,0,INSTREET,92,1
SANTA BARBARA POLO CLUB CONVERSE AYAKKABI KIRMIZI- BEYAZ-SÝYAH,79.0,149.0,47,freeShipping,0,0,kubilayshoes,88,1
Hercule Beyaz Erkek Spor Ayakkabý Günlük Sneaker Rahat Giyim,99.0,189.0,47,freeShipping,0,0,HerculeShoes,100,1
Kinetix VOTEN Lacivert TURUNCU Erkek Yürüyüþ Ayakkabýsý,83.0,159.0,48,freeShipping,0,0,INSTREET,92,1
SANTA BARBARA POLO CLUB CONVERSE AYAKKABI SÝYAH BEYAZ-KREM-MAVÝ,79.0,139.0,43,freeShipping,0,0,kubilayshoes,88,1
Lion 1453 Siyah Sax  Çoraplý Halýsaha Futbol Ayakkabýsý,87.0,133.0,34,noShipping,0,0,modastar,100,1
Vojo Star Anatomik Taban Cýrtlý Çocuk Spor Ayakkabý 8 RENK,62.0,169.0,63,noShipping,0,0,Viaspor,100,1
ÝmerShoes Siyah Erkek Sneaker Günlük Spor Ayakkabý Bayan Çocuk,89.0,167.0,46,freeShipping,0,0,imer-tech,100,1
AkýnalBella Cros Model Eva Malzeme Sabo Terlik Sandalet Hastane,79.0,119.0,34,freeShipping,0,0,hamzeticaret,88,1
Ayakkabix Role Erkek Spor Ayakkabý Erkek&Bayan&Çocuk,99.0,249.0,60,freeShipping,0,0,ayakkabix,99,1
Modafrato WN-4078 Unisex Spor Ayakkabý Cilt Erkek Ayakkabý,89.0,199.0,55,freeShipping,0,0,ModaFrato,100,1
Erkek Kadýn Keten Günlük Spor Ayakkabý 4 Renk,89.0,299.0,70,freeShipping,0,0,Ayakkabýhobim,99,1
Kinetix VOTEN Lacivert Turuncu Erkek Yürüyüþ Ayakkabýsý,83.0,109.0,24,freeShipping,0,0,FLO,93,1
Kadýn Casual Günlük Air Spor Ayakkabý,57.0,109.0,47,freeShipping,0,0,OdesaAyakkabý,84,1
Kinetix CAPELLA Siyah Erkek Sneaker Ayakkabý,66.0,99.0,33,freeShipping,0,0,INSTREET,92,1
Muya 50615 Erkek Spor Ayakkabý Kýþlýk Günlük Ayakkabý,99.0,249.0,60,freeShipping,0,0,ModaFrato,100,1
Khayt Classic Memory System Günlük Erkek&Kadýn Spor Ayakkabý,79.0,169.0,53,freeShipping,0,0,Oncaürün,100,1
Walked 401 Krampon Halýsaha Çim Saha Erkek Futbol Ayakkabý,89.0,129.0,31,freeShipping,0,0,Ayakcenter,100,1
Slazenger ALONE I Yürüyüþ Erkek Ayakkabý Haki,99.0,184.0,46,noShipping,0,0,Slazenger,92,1
Modastar Unisex Siyah Keten Günlük Bilekli Spor Ayakkabý,62.0,119.0,48,noShipping,0,0,modastar,100,1
Khayt Vento Memory System Rahat Taban Günlük Unisex Spor Ayakkabý,79.0,149.0,47,freeShipping,0,0,Oncaürün,100,1
ERKEK WALKED SARI FUTBOL KRAMPON AYAKKABI,69.0,119.0,42,noShipping,0,0,modastar,100,1
ERKEK WALKED KIRMIZI FUTBOL KRAMPON AYAKKABI,69.0,119.0,42,noShipping,0,0,modastar,100,1
Kinetix MARCO AG 1FX Lacivert Erkek Krampon,91.0,129.0,30,freeShipping,0,0,FLO,93,1
Modafrato WN-4056 Unisex Spor Ayakkabý Koþu Yürüyüþ Ayakkabýsý,89.0,199.0,55,freeShipping,0,0,ModaFrato,100,1
ERKEK WALKED MAVÝ FUTBOL KRAMPON AYAKKABI,69.0,119.0,42,noShipping,0,0,modastar,100,1
Prosheck Su ve Soðuk Hava Dayanýklý Günlük Yürüyüþ Erkek Spor Aya,69.0,149.0,53,freeShipping,0,0,DETECTOR,93,1
Kinetix FORLAN TURF Siyah Erkek Çocuk Halý Saha Ayakkabýsý,56.0,89.0,37,freeShipping,0,0,INSTREET,92,1
Kýz Çocuk Beyaz Renk Þeritli Günlük Spor Ayakkabý,99.0,169.0,41,freeShipping,0,0,sonexayakkabý,100,1
Walked 401 S-S Krampon Çim Erkek Futbol Ayakkabý,89.0,129.0,31,freeShipping,0,0,Ayakcenter,100,1
LETOON 204HS ERKEK HALI SAHA - Lacivert,63.0,149.0,57,noShipping,0,0,Letoon,81,1
Wanderfull 4083 Kadýn Günlük Spor Ayakkabý Yürüyüþ Ayakkabýsý,69.0,149.0,53,freeShipping,0,0,MYPARLAK,94,1
Khayt Classic Memory System Günlük Erkek&Kadýn Spor Ayakkabý,79.0,169.0,53,freeShipping,0,0,Oncaürün,100,1
SANTA BARBARA POLO CLUB CONVERSE AYAKKABI BEYAZ-SÝYAH-KREM-MAVÝ,79.0,149.0,47,freeShipping,0,0,kubilayshoes,88,1
